Year,Incidence_Rate,Death_Rate
1992,56.01,23.69
1993,54.82,23.39
1994,53.80,22.99
1995,52.45,22.64
1996,53.22,21.91
1997,54.41,21.51
1998,55.23,21.22
1999,53.85,20.97
2000,52.62,20.71
2001,51.75,20.19
2002,50.85,19.80
2003,49.53,19.19
2004,48.08,18.13
2005,46.75,17.60
2006,46.08,17.32
2007,45.34,16.94
2008,44.98,16.49
2009,42.66,15.83
2010,40.68,15.55
2011,39.48,15.18
2012,38.09,14.80
2013,37.03,14.61
2014,37.71,14.28
2015,36.78,14.20
2016,37.16,13.90
2017,36.30,13.72
2018,35.76,13.40
2019,35.45,13.09
2020,32.21,12.87
2021,35.68,12.93
2022,35.36,12.76
